sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.5179;8.8603;3.4333;0.7744;8.8876;4.0721;0.5661;0.2465;-0.48;-0.1225;0.2302;0.0212;127.3175;-10.26;-29.99;-36.05;8.37;-65.0;-10.77;2.0;989.66;56.022;35.942448;-84.16516;885.77;NaN;;0.0;31.113264;;8 / 19;8015;2022-11-02 20:42:15:330
0.4142;8.6185;4.6232;0.7044;8.6821;4.5051;0.2352;0.0402;0.0295;0.1401;0.1903;0.0313;119.0637;-10.43;-29.46;-36.7;11.62;-62.29;-8.89;2.0;989.7;55.475;35.942448;-84.16516;885.77;NaN;;0.0;31.113264;;8 / 19;8515;2022-11-02 20:42:15:830
-0.9888;1.3186;12.56;-5.9307;0.2354;7.8065;3.3991;0.8196;6.3846;-1.9245;2.7311;0.3236;184.685;9.04;-15.07;-37.56;131.79;-1.38;37.22;2.0;989.51;56.8;35.942448;-84.16516;885.77;NaN;;0.0;31.113264;;8 / 19;9014;2022-11-02 20:42:16:329
-11.1259;6.3919;-11.0157;-7.9615;1.185;5.6019;2.1803;4.8447;6.7007;1.04;-1.13;-0.7578;75.6325;42.03;5.93;-18.96;311.13;-14.03;42.14;0.0;989.63;69.948;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;9 / 19;9515;2022-11-02 20:42:16:830
0.103;-0.7284;5.7604;-4.5394;-4.1748;7.6247;-0.4785;2.798;-0.0908;0.9181;-0.8048;-3.579;0.4063;32.39;27.18;-21.11;326.78;19.62;43.97;0.0;989.58;70.97;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;9 / 19;10014;2022-11-02 20:42:17:329
-5.8658;-8.3947;6.0765;-3.4655;-7.0064;5.922;-0.9576;-0.2406;0.3734;-0.359;0.0229;-0.0726;0.0;2.24;40.15;-26.56;48.29;45.6;30.34;0.0;990.04;73.245;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;9 / 19;10514;2022-11-02 20:42:17:829
-3.9576;-7.7339;5.1332;-3.856;-7.3932;5.1615;1.0313;0.036;0.1492;0.1154;-0.4416;0.4076;0.0;2.38;44.29;-18.56;30.58;48.93;36.76;0.0;990.19;66.479;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;9 / 19;11015;2022-11-02 20:42:18:330
-2.9042;-9.5271;5.114;-4.4429;-6.9956;5.2433;1.6287;-1.2033;0.6973;0.8948;0.1462;-0.0675;1.0825;3.36;44.37;-18.02;28.35;47.34;42.85;0.0;989.63;70.461;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;8 / 19;11514;2022-11-02 20:42:18:829
-4.7142;-7.607;5.5067;-4.8367;-7.2155;4.5511;0.7819;-0.2097;0.1677;0.2642;0.808;-0.204;0.135;2.82;43.07;-19.72;35.67;47.37;46.74;0.0;989.6;71.74;35.942444;-84.16517;885.4;NaN;;0.0;23.700104;;8 / 19;12015;2022-11-02 20:42:19:330
-4.4412;-7.5806;5.7892;-4.5837;-6.7714;5.4137;0.3717;-0.1342;0.017;0.2357;0.1278;-0.0336;0.0;2.23;37.56;-28.65;58.55;44.65;41.59;0.0;989.96;69.054;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;12515;2022-11-02 20:42:19:830
