time,seconds_elapsed,z,y,x
1667824692328173300,0.00717333984375,-1.02874755859375,-0.0751800537109375,0.1873931884765625
1667824692338181400,0.017181396484375,-1.0189971923828125,-0.0767822265625,0.1881103515625
1667824692348189400,0.027189453125,-0.9932708740234375,-0.072723388671875,0.1822357177734375
1667824692358196200,0.0371962890625,-0.9510498046875,-0.06451416015625,0.170623779296875
1667824692368204300,0.047204345703125,-0.927337646484375,-0.066162109375,0.16107177734375
1667824692378211300,0.05721142578125,-0.922698974609375,-0.0768280029296875,0.1585540771484375
1667824692388219400,0.067219482421875,-0.9295501708984375,-0.0944366455078125,0.1649627685546875
1667824692398226200,0.07722607421875,-0.9386444091796875,-0.11517333984375,0.176116943359375
1667824692408234200,0.087234130859375,-0.9492034912109375,-0.1238555908203125,0.1820526123046875
1667824692418241300,0.0972412109375,-0.9726104736328125,-0.123077392578125,0.1843414306640625
1667824692428249300,0.107249267578125,-1.0035247802734375,-0.1322174072265625,0.19744873046875
1667824692438257200,0.117257080078125,-1.0274810791015625,-0.15240478515625,0.2142486572265625
1667824692448264400,0.127264404296875,-1.0260467529296875,-0.1657867431640625,0.217803955078125
1667824692458272300,0.137272216796875,-1.016754150390625,-0.174102783203125,0.19732666015625
1667824692468279300,0.147279296875,-1.02099609375,-0.1902923583984375,0.1811370849609375
1667824692478287000,0.157287109375,-1.0207977294921875,-0.207794189453125,0.1945648193359375
1667824692488294400,0.16729443359375,-1.0117645263671875,-0.2167510986328125,0.2163238525390625
1667824692498302200,0.17730224609375,-1.01922607421875,-0.2091522216796875,0.2376708984375
1667824692508309200,0.187309326171875,-1.0381317138671875,-0.1974334716796875,0.266815185546875
1667824692518317300,0.1973173828125,-1.061309814453125,-0.191497802734375,0.28582763671875
1667824692528325400,0.207325439453125,-1.069580078125,-0.1882171630859375,0.2948150634765625
1667824692538332200,0.217332275390625,-1.0609588623046875,-0.189971923828125,0.3155364990234375
1667824692548340200,0.22734033203125,-1.06787109375,-0.1992340087890625,0.3347015380859375
1667824692558347300,0.23734716796875,-1.04913330078125,-0.1935882568359375,0.3249359130859375
1667824692568355300,0.247355224609375,-1.01043701171875,-0.1656036376953125,0.302978515625
1667824692578362000,0.257362060546875,-0.99481201171875,-0.127685546875,0.282196044921875
1667824692588370400,0.267370361328125,-0.9628448486328125,-0.08001708984375,0.269805908203125
1667824692598377200,0.277377197265625,-0.9546051025390625,-0.05987548828125,0.2199859619140625
1667824692608385300,0.28738525390625,-0.966949462890625,-0.062225341796875,0.1103057861328125
1667824692618393300,0.297393310546875,-0.9356842041015625,-0.0980224609375,0.035186767578125
1667824692628400400,0.307400390625,-0.96533203125,-0.175445556640625,-0.0053863525390625
1667824692638408400,0.317408447265625,-1.008209228515625,-0.214935302734375,0.03485107421875
1667824692648415200,0.327415283203125,-1.0023345947265625,-0.2231597900390625,0.1082305908203125
1667824692658423300,0.33742333984375,-0.96734619140625,-0.2169342041015625,0.0963897705078125
1667824692668430300,0.347430419921875,-0.9403228759765625,-0.20806884765625,0.037139892578125
1667824692678438400,0.3574384765625,-0.91156005859375,-0.203399658203125,-0.0227203369140625
1667824692688445400,0.367445556640625,-0.87750244140625,-0.19000244140625,-0.0834808349609375
1667824692698453500,0.37745361328125,-0.8541717529296875,-0.1873016357421875,-0.1365203857421875
1667824692708461300,0.38746142578125,-0.865966796875,-0.214080810546875,-0.16375732421875
1667824692718468400,0.39746826171875,-0.8823089599609375,-0.256439208984375,-0.1723175048828125
1667824692728476200,0.40747607421875,-0.885528564453125,-0.291107177734375,-0.181427001953125
1667824692738483500,0.4174833984375,-0.8863525390625,-0.316802978515625,-0.1944122314453125
1667824692748491300,0.4274912109375,-0.8785400390625,-0.3379974365234375,-0.210906982421875
1667824692758498300,0.437498291015625,-0.887115478515625,-0.36944580078125,-0.219207763671875
1667824692768506400,0.44750634765625,-0.9217987060546875,-0.3902435302734375,-0.2087554931640625
1667824692778513400,0.457513427734375,-0.9506072998046875,-0.3990936279296875,-0.1806640625
1667824692788521200,0.467521240234375,-0.9561767578125,-0.4049072265625,-0.144927978515625
1667824692798529300,0.477529296875,-0.948394775390625,-0.4230804443359375,-0.1160430908203125
1667824692808536300,0.487536376953125,-0.9388580322265625,-0.4568328857421875,-0.101165771484375
1667824692818544400,0.49754443359375,-0.9413604736328125,-0.475341796875,-0.0999908447265625
1667824692828551200,0.50755126953125,-0.94635009765625,-0.4725494384765625,-0.1045074462890625
1667824692838559500,0.5175595703125,-0.959625244140625,-0.4496917724609375,-0.111724853515625
1667824692848566300,0.527566162109375,-0.9572296142578125,-0.3974151611328125,-0.1293487548828125
1667824692858574300,0.53757421875,-0.9398651123046875,-0.3238525390625,-0.161834716796875
1667824692868581400,0.547581298828125,-0.92047119140625,-0.2617034912109375,-0.1854095458984375
1667824692878589400,0.55758935546875,-0.9186859130859375,-0.2363128662109375,-0.1926422119140625
1667824692888597200,0.56759716796875,-0.94085693359375,-0.2436370849609375,-0.1864013671875
1667824692898604300,0.577604248046875,-0.975189208984375,-0.26068115234375,-0.18695068359375
1667824692908612400,0.5876123046875,-0.9888763427734375,-0.263916015625,-0.201568603515625
1667824692918619400,0.597619384765625,-0.977996826171875,-0.2418212890625,-0.2105560302734375
1667824692928627200,0.607627197265625,-0.9658660888671875,-0.2083282470703125,-0.219024658203125
1667824692938634500,0.617634521484375,-0.965057373046875,-0.1871185302734375,-0.2273406982421875
1667824692948642300,0.627642333984375,-0.95941162109375,-0.1811370849609375,-0.2312164306640625
