sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8811;5.8661;7.9083;8.9791;0.918;-3.8343;-9.8602;4.9481;11.7427;0.3795;0.2343;0.4409;211.0;-17.22;-16.56;-44.04;250.08;-5.37;-113.12;5.0;982.36;59.449;;;;NaN;;;;;0 / 0;20;2022-10-30 19:24:21:377
2.545;4.8387;7.3242;9.0243;-0.8242;-3.7487;-6.4793;5.6629;11.0729;-0.3346;-0.1487;-0.6196;256.0;-17.04;-13.56;-43.5;253.28;4.82;-112.56;5.0;982.44;44.256;;;;NaN;;;;;0 / 0;520;2022-10-30 19:24:21:877
0.6416;2.2745;9.7758;8.8984;-0.4706;-4.0946;-8.2568;2.7451;13.8705;0.3716;-0.0693;0.3169;178.0;-19.98;-8.7;-44.34;259.48;2.75;-114.71;5.0;982.45;47.325;;;;NaN;;;;;0 / 0;1020;2022-10-30 19:24:22:377
-0.1149;5.4878;8.3369;9.0595;-1.8237;-3.2816;-9.1745;7.3115;11.6185;0.3331;0.4279;0.0188;73.0;-21.0;-6.96;-43.5;261.04;10.15;-111.71;5.0;982.38;50.974;;;;NaN;;;;;0 / 0;1520;2022-10-30 19:24:22:877
0.0718;4.4484;6.0409;9.2242;-2.8689;-1.6894;-9.1523;7.3173;7.7303;0.1107;-0.106;0.1355;52.0;-13.74;-8.28;-45.72;259.25;17.0;-101.1;5.0;982.43;53.593;;;;NaN;;;;;0 / 0;2021;2022-10-30 19:24:23:378
1.4629;4.8123;8.5045;9.2652;-1.8591;-2.621;-5.4967;6.7915;10.7424;0.3172;-0.3577;-0.567;6.0;-16.62;-11.52;-44.34;254.26;14.6;-103.54;5.0;982.43;48.374;;;;NaN;;;;;0 / 0;2521;2022-10-30 19:24:23:878
0.577;5.9379;13.9465;9.3431;0.6716;-2.9028;-9.8339;5.3717;15.3673;0.4943;-1.0809;0.6999;18.0;-13.2;-17.7;-41.94;247.78;-3.93;-107.26;5.0;982.4;43.393;;;;NaN;;;;;0 / 0;3020;2022-10-30 19:24:24:377
1.5443;3.9528;8.5404;8.9163;-1.7917;-3.6688;-7.372;5.7445;12.2092;-0.5197;-1.9813;0.5863;24.0;-24.66;-8.94;-39.6;257.52;10.53;-112.37;5.0;982.34;45.491;;;;NaN;;;;;0 / 0;3524;2022-10-30 19:24:24:881
13.1421;-2.6576;1.0654;-0.2036;-3.07;-9.3115;9.5532;3.7356;12.2898;0.5005;-0.5568;1.637;6.0;-43.5;20.76;-4.74;296.95;18.24;178.75;5.0;982.34;50.117;;;;NaN;;;;;0 / 0;4020;2022-10-30 19:24:25:377
9.5388;-2.2745;1.4246;-3.3773;-7.4626;-5.392;12.9161;5.1881;6.8165;1.1406;-0.7071;0.188;0.0;-37.32;28.44;-9.84;323.11;41.86;153.14;5.0;982.37;54.305;;;;NaN;;;;;0 / 0;4520;2022-10-30 19:24:25:877
