sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.4381;2.9161;7.7024;-0.0518;3.3827;9.2046;-0.3863;-0.4666;-1.5022;-0.4813;-1.0468;0.8068;143.0;16.32;-37.44;-32.82;210.67;-22.68;6.19;5.0;994.61;55.987;;;;NaN;;;;;0 / 0;15;2022-11-03 12:37:37:973
1.2067;3.0837;10.9131;0.1095;4.2735;8.8258;0.8578;-0.3925;2.092;-0.5314;0.0051;0.2955;162.0;13.98;-38.04;-23.52;211.05;-27.45;1.01;5.0;994.75;54.398;;;;NaN;;;;;0 / 0;514;2022-11-03 12:37:38:472
-1.1133;4.2401;8.368;-0.008;4.5906;8.6658;0.0702;-0.5755;1.4859;0.0807;0.2446;0.0866;168.0;13.38;-31.26;-18.24;214.6;-28.14;0.0;5.0;994.63;61.735;;;;NaN;;;;;0 / 0;1014;2022-11-03 12:37:38:972
0.7949;4.4389;10.0488;0.6253;4.8135;8.5211;-0.5654;-0.6021;-0.9097;-0.1148;0.5531;0.3884;187.0;12.48;-26.1;-12.6;217.69;-29.4;-4.2;5.0;994.43;62.995;;;;NaN;;;;;0 / 0;1514;2022-11-03 12:37:39:472
1.9489;4.3479;7.3816;0.7616;4.5535;8.652;-2.6698;-0.1769;-0.2815;0.1375;0.1872;0.0768;197.0;13.92;-23.34;-11.88;224.26;-27.67;-5.03;5.0;994.49;55.154;;;;NaN;;;;;0 / 0;2014;2022-11-03 12:37:39:972
-1.2809;0.5842;8.9019;-1.5583;3.3764;9.0743;-1.492;-0.6853;1.0583;-0.4843;-0.0938;0.4097;211.0;19.74;-15.78;-15.72;243.64;-20.14;9.74;5.0;994.62;55.256;;;;NaN;;;;;0 / 0;2514;2022-11-03 12:37:40:472
15.7305;0.5698;-1.64;9.5112;-1.8266;1.54;2.6373;2.1689;-1.3389;1.2169;-1.8177;3.3608;133.0;-9.12;-26.04;-17.16;209.57;-7.73;-72.79;5.0;994.51;54.648;;;;NaN;;;;;0 / 0;3015;2022-11-03 12:37:40:973
7.3744;-1.6161;0.5866;9.1483;-3.2076;1.4801;0.4671;1.8931;-0.6254;0.2346;-1.0254;-1.4693;4.0;-21.18;-10.68;-27.48;226.0;26.99;-78.63;5.0;994.8;56.065;;;;NaN;;;;;0 / 0;3514;2022-11-03 12:37:41:472
3.1508;-10.7934;2.7318;5.6345;-7.9784;0.8763;-3.0919;-1.9268;2.4445;0.3525;0.178;-0.338;0.0;-25.5;14.04;-19.74;234.49;53.74;-85.94;5.0;994.92;55.682;;;;NaN;;;;;0 / 0;4015;2022-11-03 12:37:41:973
-0.091;-14.713;2.308;2.7946;-9.3775;0.6498;-0.3621;-2.012;0.0732;-0.951;0.7626;-0.6165;0.0;-15.54;30.66;-16.62;233.66;72.99;-76.91;5.0;995.1;70.966;;;;NaN;;;;;0 / 0;4514;2022-11-03 12:37:42:472
