sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.6975;4.798;6.9052;-3.9253;6.5131;6.192;3.4465;-2.9458;0.4043;0.7234;1.4509;-0.6764;3382.0;-16.92;-10.08;-46.02;62.19;-40.21;19.7;2.0;990.37;56.264;;;;NaN;;;;;0 / 0;14;2022-11-01 17:32:29:841
-0.1891;3.0502;9.8884;-2.4709;6.2143;7.1727;2.2434;-3.7124;-0.7679;0.7625;-0.433;1.166;3612.0;-19.26;-11.16;-48.54;63.48;-39.32;19.01;2.0;990.37;63.794;;;;NaN;;;;;0 / 0;514;2022-11-01 17:32:30:341
1.3264;4.9563;9.6298;-1.5414;7.4265;6.2162;2.9875;-2.6908;0.1359;-0.8453;1.0282;-0.4137;3680.0;-21.06;-19.02;-45.66;60.8;-49.23;13.93;2.0;990.29;66.291;;;;NaN;;;;;0 / 0;1014;2022-11-01 17:32:30:841
0.2394;4.2473;9.9243;-2.5542;6.6922;6.6979;2.1663;-2.5119;1.8449;-0.3755;0.1925;0.0017;3889.0;-18.84;-15.12;-48.78;66.03;-43.03;20.87;2.0;990.33;56.821;;;;NaN;;;;;0 / 0;1514;2022-11-01 17:32:31:341
3.4165;3.3854;1.336;2.0967;7.0304;6.5075;0.659;-6.5635;0.0888;1.2646;-3.4421;1.1141;3529.0;-32.28;-15.24;-42.36;68.35;-41.42;5.7;2.0;990.4;60.85;;;;NaN;;;;;0 / 0;2017;2022-11-01 17:32:31:844
12.5507;-2.5498;0.9313;9.7623;0.9276;0.0823;0.5139;-5.6203;8.9082;-0.9656;1.2243;1.0389;1335.0;-37.98;29.76;10.38;22.95;-9.97;-82.03;2.0;990.27;65.019;;;;NaN;;;;;0 / 0;2521;2022-11-01 17:32:32:348
11.1932;-1.798;5.8517;9.516;1.2383;2.0207;4.16;-5.0426;7.3169;0.4351;-0.8631;0.1794;107.0;-41.7;31.44;-2.88;6.97;-8.25;-79.8;2.0;990.36;61.677;;;;NaN;;;;;0 / 0;3015;2022-11-01 17:32:32:842
16.76;-0.9984;-7.3744;9.4621;0.3603;-2.5513;3.7231;-4.282;-6.6643;-0.7903;-2.309;1.0756;34.0;-36.18;32.58;8.7;7.45;-10.9;-96.06;2.0;990.59;63.719;;;;NaN;;;;;0 / 0;3514;2022-11-01 17:32:33:341
9.1246;-6.6083;-2.3367;8.1173;-5.4999;-0.1736;0.9067;-0.8187;0.0827;-0.3969;0.1412;-0.7008;1.0;-7.86;44.82;2.04;3.11;33.71;-91.48;2.0;990.61;67.882;;;;NaN;;;;;0 / 0;4014;2022-11-01 17:32:33:841
4.8052;-12.8979;-2.0925;7.7665;-5.2033;-2.9626;-3.7299;0.0866;-0.7628;0.2848;0.0825;0.2014;1.0;-6.24;42.12;4.26;3.3;25.64;-107.49;2.0;990.81;65.951;;;;NaN;;;;;0 / 0;4514;2022-11-01 17:32:34:341
2.3104;-16.7217;-0.7781;2.3988;-9.4759;0.7899;-4.9462;-4.5784;-1.7595;1.9433;0.7166;0.3468;1.0;23.46;40.92;-2.7;6.99;62.36;-109.36;2.0;990.6;58.405;;;;NaN;;;;;0 / 0;5015;2022-11-01 17:32:34:842
