sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.0032;4.5346;8.0879;0.1291;4.7834;8.56;1.9251;0.1562;-0.5032;0.4099;0.0272;-0.2631;1134.0;-23.34;-21.24;-32.04;97.63;-28.34;-1.95;2.0;991.0;57.021;;;;NaN;;;;;0 / 0;11;2022-11-03 14:48:29:264
-0.0958;3.5817;7.3577;-0.3746;5.5671;8.0646;-0.8943;-2.2726;-1.7388;0.4319;0.2636;-0.7908;1177.0;-19.44;-27.72;-28.32;114.61;-32.6;-3.42;2.0;991.06;57.063;;;;NaN;;;;;0 / 0;511;2022-11-03 14:48:29:764
2.3846;2.7653;13.4437;-0.3868;5.5692;8.0626;-2.5101;0.5794;-0.4343;-0.5681;-0.2434;1.2311;1181.0;-19.8;-27.48;-29.7;106.89;-33.65;4.45;2.0;991.02;62.36;;;;NaN;;;;;0 / 0;1010;2022-11-03 14:48:30:263
-1.5945;4.5035;12.4214;0.2365;6.1469;7.6374;2.1601;-0.4077;0.0483;0.6732;-0.434;0.3264;1088.0;-23.22;-23.7;-31.38;87.59;-38.88;-0.7;2.0;991.05;62.378;;;;NaN;;;;;0 / 0;1510;2022-11-03 14:48:30:763
-0.5339;6.8501;10.8604;-0.7974;5.8279;7.8467;-0.1746;1.683;3.3848;-0.3183;-0.2569;0.3466;864.0;-19.02;-24.36;-32.16;92.01;-38.05;7.22;2.0;991.0;61.45;;;;NaN;;;;;0 / 0;2010;2022-11-03 14:48:31:263
-0.0287;5.4687;7.2499;-0.0128;6.359;7.4655;0.4222;-0.8544;1.1563;-0.0385;-0.3656;-0.9991;558.0;-22.74;-25.74;-28.26;93.05;-40.55;-1.41;2.0;991.02;55.09;;;;NaN;;;;;0 / 0;2511;2022-11-03 14:48:31:764
-1.6592;4.2545;5.2197;-0.4568;5.6036;8.035;0.3155;-0.8296;-2.1115;0.0562;-0.0919;-0.563;463.0;-16.62;-30.06;-26.64;120.51;-33.54;0.61;2.0;991.04;59.785;;;;NaN;;;;;0 / 0;3011;2022-11-03 14:48:32:264
0.9792;5.3298;7.4606;-0.4619;5.7034;7.9641;2.0924;-1.5399;3.6696;-0.0745;0.7052;0.3973;643.0;-20.1;-27.48;-29.04;110.76;-32.08;6.58;2.0;991.05;62.917;;;;NaN;;;;;0 / 0;3511;2022-11-03 14:48:32:764
0.8978;4.865;8.7607;-0.365;5.5978;8.0437;2.1822;-0.0645;6.9733;-0.8308;0.4975;-0.6094;422.0;-19.5;-27.6;-28.56;96.28;-41.86;3.35;2.0;991.05;62.624;;;;NaN;;;;;0 / 0;4011;2022-11-03 14:48:33:264
-1.2091;6.3114;11.9713;-0.4264;5.5039;8.1053;-1.3237;0.1755;2.1829;-0.0397;0.0644;1.0112;536.0;-19.44;-28.02;-28.32;108.29;-36.17;4.11;2.0;991.08;64.276;;;;NaN;;;;;0 / 0;4511;2022-11-03 14:48:33:764
