sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.826;-0.316;9.6729;0.9162;1.943;9.5685;-0.4637;-0.2216;0.7604;-0.5063;-0.7425;0.3329;0.0;-33.66;-23.52;-40.56;113.65;-13.03;-3.87;5.0;988.0;54.45;;;;NaN;;;;;0 / 0;7;2022-11-04 19:00:35:219
0.4884;2.1548;10.9873;0.877;2.8984;9.3274;1.6297;-1.1889;1.8155;0.6836;0.9533;-0.2291;0.0;-31.2;-22.5;-41.46;107.72;-16.32;-3.55;5.0;987.9;54.784;;;;NaN;;;;;0 / 0;507;2022-11-04 19:00:35:719
-3.9337;7.4822;4.9252;-2.1981;5.0887;8.0897;-1.5728;0.2004;1.1929;-0.6169;-1.065;0.0226;0.0;-15.54;-36.18;-45.96;103.29;-35.24;17.56;5.0;987.82;55.886;;;;NaN;;;;;0 / 0;1007;2022-11-04 19:00:36:219
-0.1317;3.802;7.5349;-0.169;3.6184;9.1131;-1.1717;-0.5036;-0.2184;-0.4373;0.2263;0.4453;0.0;-25.2;-25.44;-44.88;98.5;-25.28;4.17;5.0;987.87;55.997;;;;NaN;;;;;0 / 0;1507;2022-11-04 19:00:36:719
-0.1556;3.5769;7.1135;-0.0202;3.5276;9.1502;-0.5807;-0.6905;-1.0431;0.5572;-0.1866;-0.358;2.0;-25.14;-26.4;-46.44;111.26;-19.18;-1.64;5.0;987.8;65.999;;;;NaN;;;;;0 / 0;2007;2022-11-04 19:00:37:219
-1.9872;2.6719;8.3441;-0.6879;4.4343;8.7197;-0.7151;-1.1495;-1.0532;-0.1569;0.2831;0.3464;1.0;-22.5;-30.48;-47.58;108.72;-23.91;4.76;5.0;987.81;61.078;;;;NaN;;;;;0 / 0;2507;2022-11-04 19:00:37:719
1.913;2.3487;12.5651;0.1998;3.4615;9.1732;-0.3578;0.5799;0.3704;-0.6077;-0.7346;0.0;1.0;-27.6;-26.82;-47.4;102.83;-23.13;0.88;5.0;987.79;53.876;;;;NaN;;;;;0 / 0;3007;2022-11-04 19:00:38:219
-0.1484;4.6926;9.9051;-0.4391;3.8551;9.0064;0.1064;0.7825;0.5132;0.1754;0.2538;0.0715;2.0;-23.04;-29.16;-48.12;109.35;-22.59;1.99;5.0;987.77;55.645;;;;NaN;;;;;0 / 0;3507;2022-11-04 19:00:38:719
0.2442;4.8411;8.629;-0.2159;4.0228;8.9409;-0.2342;0.744;0.4135;0.1949;-0.3302;-0.0293;3.0;-24.12;-30.0;-48.54;106.14;-24.42;1.67;5.0;987.8;56.729;;;;NaN;;;;;0 / 0;4007;2022-11-04 19:00:39:219
-0.3567;3.6368;7.2859;-0.0703;3.6767;9.091;0.0559;0.4628;-0.8571;-0.1129;0.0467;-0.3708;3.0;-25.8;-32.7;-48.54;114.73;-22.42;-0.71;5.0;987.84;57.472;;;;NaN;;;;;0 / 0;4507;2022-11-04 19:00:39:719
0.4956;3.1101;8.7535;0.4873;3.1713;9.2669;0.4561;-0.3078;-0.9372;0.0153;-0.15;0.3213;3.0;-27.6;-29.7;-47.82;114.24;-19.23;-0.4;5.0;987.85;55.752;;;;NaN;;;;;0 / 0;5007;2022-11-04 19:00:40:219
-0.6369;1.6448;13.3049;-1.0413;2.8867;9.3141;1.5321;-0.7415;2.1305;0.2963;0.7132;-0.2926;4.0;-22.08;-29.46;-48.78;117.39;-18.03;3.26;5.0;987.92;56.5;;;;NaN;;;;;0 / 0;5507;2022-11-04 19:00:40:719
-0.8188;3.5147;11.4709;-0.8578;3.4744;9.1304;0.1419;0.7562;0.8538;-0.0042;0.1286;0.2114;5.0;-21.54;-34.2;-46.14;124.29;-19.04;5.36;5.0;987.83;57.295;;;;NaN;;;;;0 / 0;6007;2022-11-04 19:00:41:219
