sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.9018;1.9273;10.1469;0.2906;3.0429;9.3181;-0.7048;-1.9105;-0.6627;1.296;-1.1969;-0.2878;152.0;4.14;-3.72;-38.28;315.72;-12.54;-0.35;5.0;992.16;56.052;;;;NaN;;;;;0 / 0;17;2022-11-02 13:49:11:502
0.4405;3.0646;9.9937;-0.0303;3.4614;9.1754;0.15;-1.0552;1.6203;0.0205;0.0291;0.0378;158.0;3.84;-7.08;-40.02;325.59;-20.78;-1.73;5.0;992.09;58.221;;;;NaN;;;;;0 / 0;517;2022-11-02 13:49:12:002
-0.6105;0.6512;5.8374;2.7535;4.4212;8.3091;-4.9035;-3.7987;-3.2523;-0.6942;-3.36;2.6431;153.0;-5.58;-13.14;-41.4;313.33;-26.8;-18.33;5.0;992.05;55.95;;;;NaN;;;;;0 / 0;1017;2022-11-02 13:49:12:502
11.2387;-2.5833;-3.3351;8.876;-4.0029;1.168;6.7085;0.9383;-2.7434;0.1335;-1.6312;-0.4252;46.0;-28.8;6.24;-21.66;247.6;24.09;-82.5;5.0;992.04;63.077;;;;NaN;;;;;0 / 0;1517;2022-11-02 13:49:13:002
9.1294;-2.1428;1.1109;9.3633;-2.4923;-1.512;0.3263;3.0717;-7.208;-0.4646;0.1238;0.7696;5.0;-34.86;4.86;-14.04;270.49;8.49;-99.05;5.0;992.26;58.446;;;;NaN;;;;;0 / 0;2018;2022-11-02 13:49:13:503
7.657;-3.0957;5.7751;8.8318;-0.474;4.2362;-1.2826;-2.6576;1.4144;-0.0327;-0.8524;0.6487;2.0;-26.58;-11.52;-33.78;234.25;0.79;-62.12;5.0;992.07;55.739;;;;NaN;;;;;0 / 0;2517;2022-11-02 13:49:14:002
6.8884;-6.1582;-2.0566;8.5234;-4.0934;-2.6012;-1.465;-1.2005;0.6523;0.1805;-0.7846;-0.2041;0.0;-39.96;4.92;-13.2;235.87;25.22;-96.42;5.0;992.47;64.368;;;;NaN;;;;;0 / 0;3017;2022-11-02 13:49:14:502
5.8661;-0.7925;1.7645;9.1407;-3.4873;-0.6752;-1.6586;1.3157;1.8651;0.511;0.0682;0.2821;0.0;-41.28;1.14;-21.06;242.68;20.41;-95.03;5.0;992.27;65.25;;;;NaN;;;;;0 / 0;3517;2022-11-02 13:49:15:002
9.4478;-8.9019;-2.1428;8.1116;-5.4511;0.8104;-0.3493;-0.9417;-3.4009;-1.0308;0.5697;-1.8088;0.0;-33.72;11.34;-26.76;243.18;37.86;-87.5;5.0;992.54;63.683;;;;NaN;;;;;0 / 0;4017;2022-11-02 13:49:15:502
4.2186;-6.0457;-1.0175;8.3009;-4.8439;-1.9497;-1.4915;0.6421;2.1772;0.9258;-0.4608;0.3304;0.0;-43.92;11.82;-16.56;247.8;30.78;-100.79;5.0;991.83;59.955;;;;NaN;;;;;0 / 0;4518;2022-11-02 13:49:16:003
5.4974;-0.0527;-0.2418;6.0093;-7.6321;-1.3451;6.7808;5.1206;1.0171;0.7089;0.3015;0.2504;0.0;-40.32;21.48;-14.58;249.92;41.43;-101.34;5.0;991.78;65.608;;;;NaN;;;;;0 / 0;5018;2022-11-02 13:49:16:503
7.5109;-7.2643;-0.1676;6.264;-7.4888;-0.9226;0.7226;-1.9184;1.3008;-0.0938;-0.6612;1.2436;0.0;-38.76;23.7;-16.74;240.54;45.8;-92.69;5.0;992.21;62.208;;;;NaN;;;;;0 / 0;5518;2022-11-02 13:49:17:003
6.7687;-6.6634;-5.3777;5.0775;-7.9585;-2.6554;3.4342;0.8762;-3.3544;0.3503;-0.3069;0.0262;0.0;-39.96;28.32;-1.68;241.26;54.59;-118.85;5.0;992.03;61.564;;;;NaN;;;;;0 / 0;6017;2022-11-02 13:49:17:502
5.2244;-5.1909;-0.838;3.7842;-8.8633;-1.8146;-0.0133;0.9573;1.1179;-0.3338;-0.3099;-0.1693;0.0;-30.06;37.2;-8.4;246.85;64.48;-108.78;5.0;992.13;61.831;;;;NaN;;;;;0 / 0;6517;2022-11-02 13:49:18:002
-0.146;-2.4373;-2.6911;-0.6542;-6.9869;-6.8502;3.4387;-5.2957;0.9051;-3.6875;-3.7296;0.4153;0.0;-18.0;35.46;27.96;205.48;71.04;-162.99;5.0;991.83;71.118;;;;NaN;;;;;0 / 0;7017;2022-11-02 13:49:18:502
-6.6107;-7.1302;-6.7208;-3.5215;-5.343;-7.4311;-6.9319;2.774;5.3888;2.3961;2.139;-0.0092;0.0;3.0;23.46;46.86;287.47;20.71;149.89;5.0;994.23;64.711;;;;NaN;;;;;0 / 0;7518;2022-11-02 13:49:19:003
