sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4908;3.2681;10.1326;8.4603;-3.9748;2.9656;-6.114;8.9239;9.1469;-0.2511;-0.5246;-0.2259;27.0;-17.4;-23.7;-25.56;208.84;24.19;-68.13;5.0;991.34;48.257;;;;NaN;;;;;0 / 0;14;2022-11-04 12:44:49:980
-0.4405;4.6783;8.0735;8.2891;-3.434;3.9584;-8.5381;8.0332;3.9236;0.2259;0.1822;0.1022;19.0;-10.14;-26.34;-30.06;216.75;20.09;-66.78;5.0;991.31;43.353;;;;NaN;;;;;0 / 0;514;2022-11-04 12:44:50:480
-0.0311;3.5386;7.7551;7.908;-4.1025;4.0992;-7.9344;7.7081;3.3591;-0.0044;-0.0267;0.0521;27.0;-11.04;-25.26;-29.04;212.61;23.82;-62.44;5.0;991.35;45.748;;;;NaN;;;;;0 / 0;1014;2022-11-04 12:44:50:980
0.3998;2.7366;9.8381;8.745;-2.7754;3.4631;-7.4784;6.8001;6.296;0.7849;-1.2375;-0.4061;109.0;-9.96;-25.2;-27.12;216.06;16.44;-68.4;5.0;991.33;40.193;;;;NaN;;;;;0 / 0;1514;2022-11-04 12:44:51:480
-0.6177;3.2154;12.2323;8.9274;-2.1128;3.4653;-8.7215;7.5575;7.1102;-0.3825;0.9659;-0.0023;336.0;-9.84;-27.78;-23.64;210.99;12.44;-68.79;5.0;991.3;65.602;;;;NaN;;;;;0 / 0;2014;2022-11-04 12:44:51:980
0.2777;4.8602;10.7838;8.1211;-3.3956;4.3229;-7.8027;7.6812;1.5168;0.2412;-2.2918;0.0252;601.0;-10.62;-29.52;-25.5;205.41;20.26;-61.97;5.0;991.36;51.16;;;;NaN;;;;;0 / 0;2514;2022-11-04 12:44:52:480
11.9115;-1.2761;4.2832;0.8783;-8.9954;-3.8055;12.5966;10.2691;7.1334;0.3182;0.0582;0.9708;75.0;-39.06;-2.34;8.52;230.09;58.28;-149.74;5.0;991.27;46.825;;;;NaN;;;;;0 / 0;3014;2022-11-04 12:44:52:980
8.6098;0.2274;4.0797;0.5656;-9.7878;-0.2223;9.2988;10.2954;2.4872;0.1447;-0.5056;0.5927;2.0;-38.94;1.68;10.26;198.32;83.45;-122.48;5.0;991.27;51.658;;;;NaN;;;;;0 / 0;3514;2022-11-04 12:44:53:480
7.4702;-6.2013;-3.0718;-2.434;-9.1514;-2.5489;6.7891;3.3404;0.0972;-0.3006;-0.6926;0.6831;2.0;-30.24;4.38;25.08;269.99;72.91;142.02;5.0;991.72;65.216;;;;NaN;;;;;0 / 0;4014;2022-11-04 12:44:53:980
4.8052;-3.4046;-0.2753;-6.0772;-7.5327;1.58;11.055;4.2431;-1.6662;0.4715;-0.2088;-0.0066;2.0;-15.6;26.88;23.64;330.41;50.19;75.43;5.0;991.79;62.976;;;;NaN;;;;;0 / 0;4514;2022-11-04 12:44:54:480
5.4878;-6.7759;1.7095;-4.2711;-7.9769;3.7813;13.0413;1.912;-9.396;0.5485;-1.8899;-0.166;2.0;-5.16;28.68;28.5;332.64;54.43;48.48;5.0;991.19;52.269;;;;NaN;;;;;0 / 0;5014;2022-11-04 12:44:54:980
-4.3;-7.6546;1.9273;-1.326;-5.8529;7.756;3.4042;-9.1018;-1.1788;0.8026;1.115;2.7209;2.0;12.6;35.1;19.62;337.22;36.64;9.7;5.0;991.6;54.65;;;;NaN;;;;;0 / 0;5514;2022-11-04 12:44:55:480
-1.4174;-16.7816;1.7382;-5.4844;-3.0553;7.5337;4.4333;-13.6855;-9.5089;-2.7404;0.1461;-0.5325;2.0;21.96;33.84;13.62;322.35;5.14;34.57;5.0;991.8;55.32;;;;NaN;;;;;0 / 0;6014;2022-11-04 12:44:55:980
-3.474;-3.881;-11.2219;-0.064;-6.4505;7.3863;-0.1587;1.3841;-17.763;-1.0611;-0.2937;-0.0811;2.0;28.92;27.12;12.18;312.43;35.59;5.17;5.0;991.32;72.691;;;;NaN;;;;;0 / 0;6518;2022-11-04 12:44:56:484
0.9529;-10.7479;-1.5682;-5.1953;0.6349;8.2931;4.3741;-9.1107;-10.1008;1.1984;0.2946;0.991;2.0;27.24;31.62;2.64;320.7;5.28;27.44;5.0;991.11;58.054;;;;NaN;;;;;0 / 0;7014;2022-11-04 12:44:56:980
0.4142;-6.3641;0.4214;-1.6147;-6.8516;6.8278;1.0449;2.2883;-6.0688;2.2839;0.3752;-0.0224;2.0;25.2;31.86;16.32;316.73;44.32;13.31;5.0;991.17;65.18;;;;NaN;;;;;0 / 0;7514;2022-11-04 12:44:57:480
-0.0287;-9.8165;2.0686;-3.9778;-2.2678;8.6721;1.1622;-8.8847;-7.0943;1.5027;-0.1568;0.2659;2.0;26.28;35.7;6.54;322.0;13.37;24.64;5.0;991.26;71.87;;;;NaN;;;;;0 / 0;8014;2022-11-04 12:44:57:980
-1.2641;-11.4877;-0.1796;-5.3293;-4.4937;6.8975;5.5854;-7.5662;-8.0348;-2.0147;-2.2087;-0.7897;2.0;25.2;28.26;24.6;307.54;27.27;37.69;5.0;991.11;55.48;;;;NaN;;;;;0 / 0;8515;2022-11-04 12:44:58:481
