sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1245;4.8866;7.7431;-1.0163;5.4448;8.0927;1.1983;0.0718;1.1468;-0.033;-1.0356;-1.308;4758.0;-7.92;6.18;-46.5;21.38;-34.04;4.83;5.0;982.56;62.868;;;;NaN;;;;;0 / 0;10;2022-10-31 17:17:21:527
-1.403;5.4088;6.716;-1.8843;4.3345;8.5926;-0.3279;0.0469;1.1234;0.3629;0.2888;0.0072;4694.0;-14.4;4.92;-44.88;45.3;-27.07;12.39;5.0;982.56;57.935;;;;NaN;;;;;0 / 0;510;2022-10-31 17:17:22:027
0.3089;2.1883;6.2779;-0.7701;4.0107;8.9158;-0.099;-1.6045;-0.3658;0.1393;-0.2188;0.5405;4998.0;-11.04;9.72;-44.82;32.06;-23.74;7.31;5.0;982.52;66.262;;;;NaN;;;;;0 / 0;1009;2022-10-31 17:17:22:526
-0.5674;3.8188;7.9634;-0.1219;4.7105;8.6004;2.3317;-0.6619;-1.8126;-0.1466;0.8642;-0.3703;5026.0;-6.24;9.0;-45.78;10.48;-30.39;-0.32;5.0;982.48;53.57;;;;NaN;;;;;0 / 0;1510;2022-10-31 17:17:23:027
-0.3855;2.2146;11.8348;0.0019;4.9739;8.4517;-0.2221;-3.2452;-2.2384;-0.2932;0.6584;0.7524;5315.0;-3.66;7.68;-47.04;8.33;-31.35;0.71;5.0;982.48;51.774;;;;NaN;;;;;0 / 0;2010;2022-10-31 17:17:23:527
0.1365;3.1508;8.9331;1.405;5.1967;8.197;3.1584;-2.915;0.1615;-0.0116;0.2955;-0.6923;5298.0;-6.6;8.58;-46.08;2.29;-29.59;-7.13;5.0;982.57;61.578;;;;NaN;;;;;0 / 0;2509;2022-10-31 17:17:24:026
-1.063;3.2034;10.9993;0.1386;4.8203;8.5391;-1.1322;-3.446;0.7076;-0.0226;0.1691;0.3981;5173.0;-0.24;8.82;-47.16;0.41;-33.28;0.29;5.0;982.62;59.724;;;;NaN;;;;;0 / 0;3010;2022-10-31 17:17:24:527
2.976;1.8938;11.1477;0.7384;5.2996;8.2182;2.6589;-1.7825;0.1714;-0.2071;-0.4284;-0.1107;5298.0;-1.86;6.72;-47.64;1.96;-32.8;-1.09;5.0;982.58;50.926;;;;NaN;;;;;0 / 0;3510;2022-10-31 17:17:25:027
0.3735;5.4088;13.1014;0.4843;5.1109;8.3555;-0.9248;-3.5691;7.4445;0.5901;-0.0429;0.6559;5317.0;-3.0;7.56;-48.12;4.54;-32.22;-0.51;5.0;982.68;56.262;;;;NaN;;;;;0 / 0;4010;2022-10-31 17:17:25:527
1.4341;3.3112;10.7838;0.7883;4.9484;8.4299;-0.2161;0.0366;3.2278;0.0024;-0.5951;-0.137;5355.0;-0.72;7.98;-46.98;355.89;-28.66;-3.81;5.0;982.63;61.443;;;;NaN;;;;;0 / 0;4510;2022-10-31 17:17:26:027
