sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.2594;0.3256;9.9482;8.8772;-3.3108;2.5306;-7.4694;4.9772;13.8607;-1.1802;-0.5957;1.089;345.0;-17.46;-22.62;-33.36;223.3;10.89;-71.71;5.0;981.41;53.008;;;;NaN;;;;;0 / 0;18;2022-10-31 15:21:40:267
0.6297;6.2731;5.811;8.8588;-1.7654;3.8176;-8.9546;7.5621;2.7859;-1.5742;-0.0814;-0.8688;560.0;-17.04;-33.6;-21.84;197.9;12.86;-64.39;5.0;981.22;48.317;;;;NaN;;;;;0 / 0;518;2022-10-31 15:21:40:767
0.2849;5.495;10.7527;8.8011;-0.6233;4.2804;-9.4619;6.0417;4.7843;0.1307;0.2784;0.0554;173.0;-8.34;-34.62;-27.0;210.98;3.75;-66.83;5.0;981.22;45.905;;;;NaN;;;;;0 / 0;1018;2022-10-31 15:21:41:267
-0.5578;3.6583;9.3928;8.6023;-1.5158;4.4578;-7.7572;5.4232;5.1097;0.2468;-0.2824;-0.1187;51.0;-11.46;-34.62;-26.52;206.26;9.59;-62.46;5.0;981.22;45.591;;;;NaN;;;;;0 / 0;1517;2022-10-31 15:21:41:766
0.9409;3.6512;9.4574;9.014;-0.7824;3.7823;-8.1952;4.6083;5.0167;-0.1216;0.0994;-0.3734;12.0;-10.14;-34.08;-29.34;212.26;7.08;-67.27;5.0;981.22;46.784;;;;NaN;;;;;0 / 0;2018;2022-10-31 15:21:42:267
0.3735;4.6088;8.4207;6.3228;1.4856;7.3475;-6.2294;2.891;1.4323;-0.0599;0.0903;0.1367;9.0;-8.04;-34.26;-30.12;209.08;-4.78;-49.6;5.0;981.23;52.974;;;;NaN;;;;;0 / 0;2518;2022-10-31 15:21:42:767
-0.3496;4.5155;8.1502;0.5879;4.8809;8.4854;-1.4809;-0.5522;0.5411;0.3677;0.0719;0.2888;7.0;-9.06;-34.26;-28.86;156.6;-28.45;-4.23;5.0;981.19;53.539;;;;NaN;;;;;0 / 0;3018;2022-10-31 15:21:43:267
-0.0982;3.6607;5.9499;1.1029;4.4156;8.6866;-0.7845;-0.5729;-1.9322;-0.0782;-0.286;0.1428;9.0;-12.24;-33.72;-29.4;151.57;-28.15;-6.75;5.0;981.21;62.618;;;;NaN;;;;;0 / 0;3518;2022-10-31 15:21:43:767
6.1534;1.0295;9.2156;8.3098;0.6662;5.1647;-3.4085;0.7249;4.4818;1.2358;-1.4125;2.5209;43.0;-44.34;-15.3;-10.14;98.87;-16.66;-35.97;5.0;981.2;60.192;;;;NaN;;;;;0 / 0;4017;2022-10-31 15:21:44:266
9.4574;-3.9672;9.9937;8.9825;-0.7352;3.8659;-2.1156;-2.1235;5.4646;1.0928;0.3737;1.4604;10.0;-46.62;7.92;-0.54;87.17;9.24;-73.35;5.0;981.13;56.562;;;;NaN;;;;;0 / 0;4518;2022-10-31 15:21:44:767
7.6522;-0.9122;-1.4916;9.0679;-3.5835;1.0498;-1.3535;3.2172;-1.3107;-0.4612;-2.2225;2.4635;0.0;-35.82;24.3;6.9;43.3;11.29;-74.96;5.0;981.48;53.206;;;;NaN;;;;;0 / 0;5018;2022-10-31 15:21:45:267
6.9842;-9.2946;-5.6602;4.59;-8.4493;-1.9263;9.4523;-4.6138;-5.259;-1.055;-0.4247;0.4916;0.0;-3.06;36.12;13.44;44.39;60.69;-107.1;5.0;981.19;57.365;;;;NaN;;;;;0 / 0;5517;2022-10-31 15:21:45:766
-1.0175;-12.6824;4.2377;-1.3947;-9.1441;3.2574;12.4801;-4.2135;-3.6405;2.2449;3.3468;3.549;0.0;23.1;30.66;-10.8;278.67;80.09;-22.24;5.0;981.3;60.671;;;;NaN;;;;;0 / 0;6018;2022-10-31 15:21:46:267
-0.4286;-3.8235;-0.0694;-1.2996;-8.8801;-3.9528;0.7561;5.1882;4.1874;0.1552;-1.2164;-0.0728;0.0;23.58;34.14;4.5;75.74;65.28;169.47;5.0;981.1;66.152;;;;NaN;;;;;0 / 0;6518;2022-10-31 15:21:46:767
-2.1883;-6.3569;-0.2705;-0.7304;-9.7381;0.8972;0.163;3.137;-1.194;1.2914;0.5881;0.0585;0.0;20.28;37.32;-12.24;77.13;81.54;148.75;5.0;981.29;64.272;;;;NaN;;;;;0 / 0;7018;2022-10-31 15:21:47:267
-0.3017;-6.7184;0.6871;-0.4269;-9.4157;-2.7079;2.3255;-4.7559;3.7566;-1.8552;-2.2292;-8.0E-4;0.0;21.36;37.56;4.26;222.08;82.77;67.59;5.0;981.22;63.786;;;;NaN;;;;;0 / 0;7518;2022-10-31 15:21:47:767
5.1622;-10.53;2.0039;-1.2793;-9.21;-3.1158;-5.8892;3.9138;7.5212;2.2229;1.2704;-0.1083;0.0;21.0;38.04;-3.12;68.43;69.06;155.66;5.0;981.4;59.509;;;;NaN;;;;;0 / 0;8018;2022-10-31 15:21:48:267
3.2513;-11.1022;-1.3312;-0.7695;-9.5292;2.1844;-0.1978;-4.4173;-2.6872;-1.1087;0.4892;-0.3789;0.0;23.94;34.38;-18.72;242.54;68.23;13.64;5.0;981.16;54.557;;;;NaN;;;;;0 / 0;8518;2022-10-31 15:21:48:767
-1.7334;-7.1901;-7.2835;-1.0265;-9.146;-3.3864;-2.7229;-17.33;-7.5746;0.2859;-0.6312;0.6498;0.0;23.64;36.54;-3.24;60.43;64.92;167.58;5.0;981.51;62.03;;;;NaN;;;;;0 / 0;9017;2022-10-31 15:21:49:266
0.9074;-8.1286;-1.7909;-1.0602;-9.4547;2.3781;0.2749;-0.4361;-3.3094;1.2327;1.1519;0.2063;0.0;24.9;31.92;-14.46;223.85;83.18;22.4;5.0;981.19;63.521;;;;NaN;;;;;0 / 0;9518;2022-10-31 15:21:49:767
-1.6017;-3.2537;-1.9561;-1.2006;-8.4948;-4.7504;0.7074;7.3791;5.3753;2.4691;-0.0307;-0.9091;0.0;24.12;33.36;3.96;71.99;66.36;174.99;5.0;981.25;63.335;;;;NaN;;;;;0 / 0;10017;2022-10-31 15:21:50:266
-0.3974;-7.6091;-3.2681;-0.7534;-9.3845;-2.7447;-1.1524;-0.7959;-0.1978;1.7025;1.0976;-0.0887;0.0;17.58;37.5;-6.9;44.97;60.97;161.68;5.0;981.38;68.5;;;;NaN;;;;;0 / 0;10518;2022-10-31 15:21:50:767
-0.9697;-9.6729;1.1636;-0.6942;-9.7444;0.8575;-1.2499;1.7163;0.9932;-0.5889;-0.8969;0.1336;0.0;18.18;31.26;-22.08;190.52;83.64;30.1;5.0;981.09;59.948;;;;NaN;;;;;0 / 0;11018;2022-10-31 15:21:51:267
-1.6735;-7.5875;-3.5841;-1.0298;-8.7671;-4.2717;-0.5576;2.2546;0.5463;0.1637;-0.0704;0.2057;0.0;-1.44;34.32;-8.28;0.93;62.93;170.25;5.0;981.23;53.942;;;;NaN;;;;;0 / 0;11523;2022-10-31 15:21:51:772
0.8045;-8.7631;-1.6065;0.2403;-9.7467;1.0555;0.6312;1.5606;-2.5255;1.3091;1.6504;-0.4216;0.0;3.66;32.16;-12.36;33.71;86.17;159.41;5.0;981.15;62.888;;;;NaN;;;;;0 / 0;12018;2022-10-31 15:21:52:267
-4.3479;-15.7233;-0.7638;-0.1611;-9.0148;-3.8571;0.8794;-3.2223;1.269;-2.9596;-2.1394;-0.5664;0.0;28.92;33.0;18.84;145.78;88.32;156.54;5.0;981.23;61.423;;;;NaN;;;;;0 / 0;12518;2022-10-31 15:21:52:767
-5.0856;-7.6067;-0.996;-0.6554;-9.3163;-2.9913;2.8461;-11.3559;-2.6905;2.0397;0.742;-0.0228;0.0;20.4;30.06;7.62;88.97;64.09;160.37;5.0;981.6;62.024;;;;NaN;;;;;0 / 0;13018;2022-10-31 15:21:53:267
-4.0486;-11.8755;6.2899;-0.937;-9.5581;1.9834;-1.1771;-3.8976;-4.3968;-2.5742;1.7207;-0.9733;0.0;16.56;35.16;-0.6;288.1;71.59;17.93;5.0;981.21;63.045;;;;NaN;;;;;0 / 0;13517;2022-10-31 15:21:53:766
