sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6704;3.4644;8.9426;-0.5607;2.078;9.5675;-0.413;1.3958;-0.6399;-0.6254;0.103;-0.2261;4557.0;16.86;3.36;-47.34;300.85;-9.82;-1.52;5.0;981.24;62.849;;;;NaN;;;;;0 / 0;16;2022-10-31 14:00:03:413
-1.81;5.3873;7.9203;0.1598;2.2682;9.5394;-1.9512;2.7346;-1.5197;0.581;-0.5103;0.149;5336.0;13.74;4.2;-49.32;312.09;-9.69;0.56;5.0;981.12;58.192;;;;NaN;;;;;0 / 0;516;2022-10-31 14:00:03:913
0.2538;4.5801;7.4487;0.8593;4.3899;8.727;-0.4477;0.2753;-1.3347;-0.0641;0.2618;-0.0361;3404.0;12.84;-8.64;-49.44;303.11;-25.3;-6.51;5.0;981.03;60.282;;;;NaN;;;;;0 / 0;1016;2022-10-31 14:00:04:413
-0.6416;5.2963;4.5873;-0.8811;4.8154;8.4974;0.0107;0.4171;-3.8943;-0.1838;-0.2189;-0.4631;3745.0;17.7;-5.28;-49.5;322.6;-31.72;1.58;5.0;981.2;67.868;;;;NaN;;;;;0 / 0;1516;2022-10-31 14:00:04:913
-2.6408;6.2109;9.9817;-0.7843;5.2106;8.2707;-1.5126;0.8078;1.8759;-0.3316;-0.2134;1.0873;4818.0;19.08;-6.96;-48.84;330.02;-32.43;7.56;5.0;981.13;68.644;;;;NaN;;;;;0 / 0;2016;2022-10-31 14:00:05:413
7.8054;0.0383;8.9714;8.0311;0.6826;5.5863;0.819;-3.3053;2.9563;-1.5729;-0.908;2.8563;4585.0;-24.66;-8.22;-52.02;333.63;-30.39;-36.46;5.0;980.99;62.551;;;;NaN;;;;;0 / 0;2516;2022-10-31 14:00:05:913
8.4662;-7.4104;11.2746;8.9606;-3.8395;1.0663;-0.3934;-3.3882;10.0498;1.3922;-1.3722;2.8209;1141.0;-44.16;10.86;-37.2;242.88;27.93;-78.28;5.0;981.14;65.253;;;;NaN;;;;;0 / 0;3016;2022-10-31 14:00:06:413
12.759;-9.9267;10.9514;8.2265;-3.5241;4.0094;4.4021;-6.368;7.2544;-1.6474;1.0126;-0.7588;495.0;-36.78;1.08;-46.32;227.25;24.49;-62.09;5.0;981.12;55.197;;;;NaN;;;;;0 / 0;3516;2022-10-31 14:00:06:913
11.9378;1.008;0.2514;8.9392;-3.9527;-0.7981;3.3601;5.5661;1.5991;-0.2376;0.6925;-0.9585;705.0;-49.86;4.8;-29.28;253.07;13.82;-85.46;5.0;981.21;65.949;;;;NaN;;;;;0 / 0;4017;2022-10-31 14:00:07:414
11.684;-2.1069;-0.5052;6.2208;-7.2128;2.3337;5.2403;5.0236;-2.4556;-0.9425;-0.1181;-1.2328;79.0;-34.5;17.88;-40.2;245.07;37.64;-72.38;5.0;981.45;63.133;;;;NaN;;;;;0 / 0;4516;2022-10-31 14:00:07:913
5.2939;-4.6687;-4.1396;4.3451;-8.7013;-1.2563;-0.329;3.1799;-2.4213;0.9701;0.1836;2.4281;0.0;-35.16;33.12;-24.54;278.26;45.07;-107.48;5.0;981.13;61.129;;;;NaN;;;;;0 / 0;5016;2022-10-31 14:00:08:413
1.8411;-7.2092;0.4812;0.9963;-9.7538;0.1999;1.0789;2.5588;0.8986;0.7154;1.2991;-0.4778;0.0;-15.24;39.48;-29.28;303.89;82.14;-143.65;5.0;981.42;66.717;;;;NaN;;;;;0 / 0;5517;2022-10-31 14:00:08:914
15.3331;-24.0599;-5.7296;-1.9955;-9.0551;-3.1928;16.3265;-14.5263;-3.6578;-1.4275;-5.4113;5.2247;0.0;-4.38;45.24;-13.26;322.99;80.75;-141.7;5.0;981.25;74.43;;;;NaN;;;;;0 / 0;6016;2022-10-31 14:00:09:413
0.5914;-10.8269;-0.0886;-1.9143;-9.0241;-3.3272;2.4449;-1.4229;1.9851;3.4075;5.3057;-1.402;0.0;-15.84;44.04;-1.08;334.95;66.2;145.15;5.0;981.3;52.434;;;;NaN;;;;;0 / 0;6516;2022-10-31 14:00:09:913
-1.4365;-11.2219;0.6153;-1.7477;-9.0757;3.2784;-0.0493;-1.7907;-1.6865;-3.0164;-0.0485;-1.4845;0.0;-7.08;30.0;-40.2;132.34;71.21;25.73;5.0;981.07;59.861;;;;NaN;;;;;0 / 0;7016;2022-10-31 14:00:10:413
-0.8045;-28.5853;-12.0527;-1.725;-9.0032;-3.4837;0.8588;-19.2191;-9.6696;-1.1166;-0.7889;0.7366;0.0;-16.32;43.14;1.74;329.03;58.62;157.89;5.0;981.12;63.248;;;;NaN;;;;;0 / 0;7516;2022-10-31 14:00:10:913
0.8954;-8.8421;-2.4972;-1.4325;-9.4008;2.3967;2.0562;0.7301;-4.2849;1.1748;0.1922;0.2724;0.0;-15.84;36.3;-30.36;98.38;82.31;45.34;5.0;981.08;68.241;;;;NaN;;;;;0 / 0;8016;2022-10-31 14:00:11:413
-1.0367;-4.4388;0.4836;-2.2339;-8.4343;-4.4768;0.6605;4.2812;4.6371;-2.4251;-2.5255;0.1508;0.0;-16.98;41.52;11.76;290.71;72.46;159.53;5.0;981.05;54.891;;;;NaN;;;;;0 / 0;8517;2022-10-31 14:00:11:914
