time,seconds_elapsed,z,y,x
1667824837973679400,0.025679443359375,-1.572411060333252,-0.7547647356987,-0.19751296937465668
1667824837983687400,0.0356875,-1.784735918045044,-0.7312633991241455,-0.08999050408601761
1667824837993695200,0.0456953125,-1.9960060119628906,-0.7436761260032654,0.08712887763977051
1667824838003702500,0.05570263671875,-2.1697728633880615,-0.8318648934364319,0.25767454504966736
1667824838013710300,0.06571044921875,-2.31497859954834,-0.9761000275611877,0.36455515027046204
1667824838023718400,0.075718505859375,-2.4360084533691406,-1.176039218902588,0.42020347714424133
1667824838033725200,0.08572509765625,-2.5661375522613525,-1.4929323196411133,0.4566250741481781
1667824838043733200,0.095733154296875,-2.6888020038604736,-1.8982603549957275,0.48421141505241394
1667824838053740300,0.105740234375,-2.764667272567749,-2.384053945541382,0.500957190990448
1667824838063748400,0.115748291015625,-2.8610427379608154,-2.168412685394287,0.35135865211486816
1667824838073756200,0.125756103515625,-2.905298948287964,-1.426688551902771,0.14758062362670898
1667824838083763500,0.135763427734375,-2.8228631019592285,-1.0014550685882568,-0.008170626126229763
1667824838093771300,0.145771240234375,-2.842820405960083,-0.4783073961734772,-0.212472602725029
1667824838103778300,0.1557783203125,-2.9127988815307617,-0.1525993049144745,-0.40996596217155457
1667824838113786000,0.1657861328125,-2.981691360473633,-0.0016280331183224916,-0.5806071758270264
1667824838123794400,0.17579443359375,-2.945801258087158,0.06298451125621796,-0.73080974817276
1667824838133801200,0.18580126953125,-2.811523199081421,0.03675173595547676,-0.8496426939964294
1667824838143809300,0.195809326171875,-2.5547709465026855,-0.26330822706222534,-0.9508755803108215
1667824838153817000,0.205817138671875,-2.304738998413086,-0.6671550869941711,-1.1010806560516357
1667824838163824400,0.215824462890625,-2.048624277114868,-1.0202395915985107,-1.2323483228683472
1667824838173832200,0.225832275390625,-1.7840410470962524,-1.2628459930419922,-1.3511942625045776
1667824838183840300,0.23584033203125,-1.505233883857727,-1.4137548208236694,-1.482574701309204
1667824838193847300,0.245847412109375,-1.2197195291519165,-1.4596095085144043,-1.600630760192871
1667824838203855400,0.25585546875,-0.9266617894172668,-1.3433066606521606,-1.6585755348205566
1667824838213862100,0.265862060546875,-0.6598654389381409,-1.1086899042129517,-1.6630892753601074
1667824838223870200,0.2758701171875,-0.5102549195289612,-0.8122731447219849,-1.7505691051483154
1667824838233878300,0.285878173828125,-0.4797862470149994,-0.43397894501686096,-2.015183448791504
1667824838243885300,0.29588525390625,-0.4801023602485657,-0.30996647477149963,-2.2813022136688232
1667824838253893400,0.305893310546875,-0.4840370714664459,-0.3182692527770996,-2.588592767715454
1667824838263901200,0.315901123046875,-0.48148950934410095,-0.38857218623161316,-2.9028425216674805
1667824838273908500,0.325908447265625,-0.38382017612457275,-0.47856229543685913,-3.1952102184295654
1667824838283916300,0.335916259765625,-0.1655922532081604,-0.6810080409049988,-3.406337261199951
1667824838293923300,0.34592333984375,0.08192981034517288,-1.1201142072677612,-3.4603817462921143
1667824838303931100,0.35593115234375,0.4055134654045105,-1.7099430561065674,-3.3047053813934326
1667824838313939500,0.365939453125,0.8608153462409973,-2.5124049186706543,-3.019090175628662
1667824838323946200,0.3759462890625,1.3935514688491821,-3.5943875312805176,-2.7978508472442627
1667824838333954300,0.385954345703125,1.917655110359192,-4.754621505737305,-2.741964817047119
1667824838343962000,0.395962158203125,2.3817389011383057,-5.844860076904297,-2.8109872341156006
1667824838353969400,0.405969482421875,2.8303003311157227,-6.795071125030518,-2.868898391723633
1667824838363977200,0.415977294921875,3.2800259590148926,-7.196885585784912,-2.722074270248413
1667824838373985300,0.4259853515625,3.6926937103271484,-6.821715831756592,-2.275681972503662
1667824838383992300,0.435992431640625,3.887402296066284,-5.814153671264648,-1.5857131481170654
1667824838394000400,0.44600048828125,3.7143003940582275,-4.680482387542725,-0.7606760859489441
1667824838404007200,0.456007080078125,3.1884210109710693,-3.6879994869232178,-0.06366904079914093
1667824838414015200,0.46601513671875,2.482994556427002,-2.8324553966522217,0.25966694951057434
1667824838424023300,0.476023193359375,1.738370656967163,-1.93900728225708,0.19172623753547668
1667824838434030300,0.4860302734375,1.0093059539794922,-0.940710186958313,-0.11425714194774628
1667824838444038400,0.496038330078125,0.3858940303325653,0.02887587994337082,-0.4706059396266937
1667824838454046200,0.506046142578125,-0.06084681302309036,0.8240195512771606,-0.7544313073158264
1667824838464053500,0.516053466796875,-0.3164101541042328,1.502632737159729,-0.8785144090652466
1667824838474061300,0.526061279296875,-0.3905946910381317,2.017115354537964,-0.854690432548523
1667824838484068400,0.536068359375,-0.3008834421634674,2.2744998931884766,-0.7233380079269409
1667824838494076200,0.546076171875,-0.07818471640348434,2.295600175857544,-0.5326505303382874
1667824838504084200,0.556084228515625,0.22452081739902496,2.1168384552001953,-0.3354405164718628
1667824838514091300,0.56609130859375,0.5381571650505066,1.7809325456619263,-0.1600673347711563
1667824838524099300,0.576099365234375,0.7839242815971375,1.3260151147842407,-0.03012743778526783
1667824838534107100,0.586107177734375,0.9228460788726807,0.8253024816513062,0.05837465077638626
1667824838544114400,0.596114501953125,0.9599878787994385,0.33777278661727905,0.10388141870498657
1667824838554122200,0.606122314453125,0.9251438975334167,-0.09970048815011978,0.1234593316912651
1667824838564130300,0.61613037109375,0.8383243083953857,-0.44545629620552063,0.159528911113739
1667824838574137000,0.62613720703125,0.7191280126571655,-0.6407951712608337,0.24458786845207214
1667824838584145400,0.6361455078125,0.5840578079223633,-0.6861993670463562,0.3789113163948059
